gene	ORF	class
BMH2	YDR099W	BOTH
BMS1	YPL217C	STRUCTURE
BMT2	YBR141C	STRUCTURE
BMT5	YIL096C	NONE
BMT6	YLR063W	NONE
BNA1	YJR025C	NONE
BNA2	YJR078W	NONE
BNA3	YJL060W	NONE
BNA4	YBL098W	NONE
BNA5	YLR231C	NONE
BNA6	YFR047C	NONE
BNA7	YDR428C	NONE
BNI1	YNL271C	INPUT
BNI4	YNL233W	NONE
BNI5	YNL166C	NONE
BNR1	YIL159W	INPUT
BNS1	YGR230W	NONE
BOI1	YBL085W	STRUCTURE
BOI2	YER114C	STRUCTURE
BOL1	YAL044W-A	NONE
BOL2	YGL220W	NONE
BOL3	YAL046C	NONE
BOP2	YLR267W	NONE
BOP3	YNL042W	NONE
BOR1	YNL275W	INPUT
BOS1	YLR078C	NONE
BPH1	YCR032W	NONE
BPL1	YDL141W	NONE
BPT1	YLL015W	INPUT
BRE1	YDL074C	STRUCTURE
BRE2	YLR015W	NONE
BRE4	YDL231C	NONE
BRE5	YNR051C	NONE
BRF1	YGR246C	NONE
BRL1	YHR036W	NONE
BRN1	YBL097W	STRUCTURE
BRO1	YPL084W	NONE
BRP1	YGL007W	NONE
BRR1	YPR057W	NONE
BRR2	YER172C	NONE
BRR6	YGL247W	NONE
BRX1	YOL077C	STRUCTURE
BSC1	YDL037C	NONE
BSC4	YNL269W	NONE
BSC5	YNR069C	NONE
BSC6	YOL137W	INPUT
BSD2	YBR290W	NONE
BSP1	YPR171W	NONE
BST1	YFL025C	NONE
BTN2	YGR142W	BOTH
BTS1	YPL069C	NONE
BTT1	YDR252W	NONE
BUB1	YGR188C	NONE
BUB2	YMR055C	STRUCTURE
BUB3	YOR026W	NONE
BUD13	YGL174W	NONE
BUD14	YAR014C	STRUCTURE
BUD16	YEL029C	NONE
BUD17	YNR027W	NONE
BUD2	YKL092C	INPUT
BUD20	YLR074C	STRUCTURE
BUD21	YOR078W	STRUCTURE
BUD22	YMR014W	STRUCTURE
BUD23	YCR047C	NONE
BUD25	YER014C-A	NONE
BUD27	YFL023W	STRUCTURE
BUD3	YCL014W	NONE
BUD31	YCR063W	NONE
BUD32	YGR262C	NONE
BUD4	YJR092W	STRUCTURE
BUD5	YCR038C	INPUT
BUD6	YLR319C	INPUT
BUD7	YOR299W	NONE
BUD8	YLR353W	NONE
BUD9	YGR041W	NONE
BUG1	YDL099W	NONE
BUL1	YMR275C	NONE
BUL2	YML111W	NONE
BUR2	YLR226W	NONE
BUR6	YER159C	NONE
BXI1	YNL305C	NONE
BYE1	YKL005C	STRUCTURE
BZZ1	YHR114W	NONE
CAB1	YDR531W	NONE
CAB2	YIL083C	NONE
CAB3	YKL088W	NONE
CAB4	YGR277C	NONE
CAB5	YDR196C	NONE
CAC2	YML102W	STRUCTURE
CAD1	YDR423C	NONE
CAF120	YNL278W	INPUT
CAF130	YGR134W	NONE
CAF16	YFL028C	NONE
CAF20	YOR276W	NONE
CAF4	YKR036C	NONE
CAF40	YNL288W	NONE
CAJ1	YER048C	STRUCTURE
CAK1	YFL029C	STRUCTURE
CAL4	YJR011C	NONE
CAM1	YPL048W	NONE
CAN1	YEL063C	INPUT
CAP1	YKL007W	NONE
CAP2	YIL034C	NONE
CAR1	YPL111W	NONE
CAR2	YLR438W	NONE
CAT2	YML042W	NONE
CAT5	YOR125C	NONE
CAT8	YMR280C	NONE
CAX4	YGR036C	NONE
CBC2	YPL178W	NONE
CBF1	YJR060W	STRUCTURE
CBF2	YGR140W	STRUCTURE
CBF5	YLR175W	STRUCTURE
CBK1	YNL161W	NONE
CBP1	YJL209W	NONE
CBP2	YHL038C	NONE
CBP3	YPL215W	NONE
CBP4	YGR174C	NONE
CBP6	YBR120C	NONE
CBR1	YIL043C	NONE
CBS1	YDL069C	NONE
CBS2	YDR197W	NONE
CBT1	YKL208W	STRUCTURE
CCA1	YER168C	NONE
CCC1	YLR220W	INPUT
CCC2	YDR270W	INPUT
CCE1	YKL011C	STRUCTURE
CCH1	YGR217W	INPUT
CCL1	YPR025C	NONE
CCM1	YGR150C	STRUCTURE
CCP1	YKR066C	INPUT
CCR4	YAL021C	STRUCTURE
CCS1	YMR038C	NONE
CCT2	YIL142W	STRUCTURE
CCT3	YJL014W	STRUCTURE
CCT4	YDL143W	STRUCTURE
CCT5	YJR064W	STRUCTURE
CCT6	YDR188W	STRUCTURE
CCT7	YJL111W	STRUCTURE
CCT8	YJL008C	STRUCTURE
CCW12	YLR110C	STRUCTURE
CCW14	YLR390W-A	NONE
CCW22	YDR134C	NONE
CCZ1	YBR131W	NONE
CDA1	YLR307W	STRUCTURE
CDA2	YLR308W	STRUCTURE
CDC1	YDR182W	STRUCTURE
CDC10	YCR002C	STRUCTURE
CDC11	YJR076C	STRUCTURE
CDC12	YHR107C	STRUCTURE
CDC123	YLR215C	STRUCTURE
CDC13	YDL220C	STRUCTURE
CDC14	YFR028C	BOTH
CDC15	YAR019C	BOTH
CDC16	YKL022C	STRUCTURE
CDC19	YAL038W	NONE
CDC20	YGL116W	STRUCTURE
CDC21	YOR074C	NONE
CDC23	YHR166C	STRUCTURE
CDC24	YAL041W	NONE
CDC25	YLR310C	BOTH
CDC26	YFR036W	STRUCTURE
CDC27	YBL084C	STRUCTURE
CDC28	YBR160W	BOTH
CDC3	YLR314C	STRUCTURE
CDC31	YOR257W	STRUCTURE
CDC33	YOL139C	STRUCTURE
CDC34	YDR054C	STRUCTURE
CDC36	YDL165W	STRUCTURE
CDC37	YDR168W	BOTH
CDC39	YCR093W	STRUCTURE
CDC4	YFL009W	STRUCTURE
CDC40	YDR364C	NONE
CDC42	YLR229C	BOTH
CDC43	YGL155W	NONE
CDC45	YLR103C	STRUCTURE
CDC48	YDL126C	STRUCTURE
CDC5	YMR001C	STRUCTURE
CDC50	YCR094W	NONE
CDC53	YDL132W	STRUCTURE
CDC55	YGL190C	NONE
CDC6	YJL194W	STRUCTURE
CDC60	YPL160W	NONE
CDC65	YNCM0036C	NONE
CDC7	YDL017W	BOTH
CDC73	YLR418C	NONE
CDC8	YJR057W	NONE
CDC9	YDL164C	STRUCTURE
CDD1	YLR245C	NONE
CDH1	YGL003C	STRUCTURE
CDS1	YBR029C	NONE
CEF1	YMR213W	NONE
CEG1	YGL130W	NONE
CEM1	YER061C	NONE
CEP3	YMR168C	NONE
CET1	YPL228W	NONE
CEX1	YOR112W	NONE
CFD1	YIL003W	NONE
CFF1	YML079W	NONE
CFT1	YDR301W	NONE
CFT2	YLR115W	NONE
CGI121	YML036W	NONE
CGR1	YGL029W	STRUCTURE
CHA1	YCL064C	NONE
CHA4	YLR098C	NONE
CHC1	YGL206C	NONE
CHD1	YER164W	STRUCTURE
CHK1	YBR274W	NONE
CHL1	YPL008W	NONE
CHL4	YDR254W	STRUCTURE
CHM7	YJL049W	NONE
CHO1	YER026C	NONE
CHO2	YGR157W	NONE
CHP1	YPL225W	NONE
CHS1	YNL192W	STRUCTURE
CHS2	YBR038W	STRUCTURE
CHS3	YBR023C	STRUCTURE
CHS5	YLR330W	NONE
CHS6	YJL099W	NONE
CHS7	YHR142W	STRUCTURE
CHZ1	YER030W	NONE
CIA1	YDR267C	NONE
CIA2	YHR122W	STRUCTURE
CIC1	YHR052W	STRUCTURE
CIK1	YMR198W	NONE
CIM1	YOR114W	NONE
CIN1	YOR349W	STRUCTURE
CIN10	YDR387C	INPUT
CIN2	YPL241C	STRUCTURE
CIN4	YMR138W	STRUCTURE
CIN5	YOR028C	NONE
CIN8	YEL061C	STRUCTURE
CIP1	YPL014W	STRUCTURE
CIR1	YGR207C	NONE
CIR2	YOR356W	NONE
CIS1	YLR346C	NONE
CIS3	YJL158C	STRUCTURE
CIT1	YNR001C	NONE
CIT2	YCR005C	NONE
CIT3	YPR001W	NONE
CKA1	YIL035C	STRUCTURE
CKA2	YOR061W	STRUCTURE
CKB1	YGL019W	STRUCTURE
CKB2	YOR039W	STRUCTURE
CKI1	YLR133W	NONE
CKS1	YBR135W	STRUCTURE
CLA4	YNL298W	STRUCTURE
CLB1	YGR108W	STRUCTURE
CLB2	YPR119W	STRUCTURE
CLB3	YDL155W	STRUCTURE
CLB4	YLR210W	STRUCTURE
CLB5	YPR120C	STRUCTURE
CLB6	YGR109C	STRUCTURE
CLC1	YGR167W	NONE
CLD1	YGR110W	NONE
CLF1	YLR117C	NONE
CLG1	YGL215W	NONE
CLN1	YMR199W	STRUCTURE
CLN2	YPL256C	STRUCTURE
CLN3	YAL040C	STRUCTURE
CLP1	YOR250C	NONE
CLU1	YMR012W	STRUCTURE
CMC1	YKL137W	NONE
CMC2	YBL059C-A	NONE
CMC4	YMR194C-B	NONE
CMD1	YBR109C	INPUT
CMG1	YLR271W	NONE
CMI7	YIL002W-A	NONE
CMI8	YDR461C-A	NONE
CMK1	YFR014C	INPUT
CMK2	YOL016C	INPUT
CMP2	YML057W	NONE
CMR1	YDL156W	NONE
CMR2	YOR093C	INPUT
CMR3	YPR013C	NONE
CMS1	YLR003C	NONE
CNA1	YLR433C	NONE
CNB1	YKL190W	NONE
CNE1	YAL058W	STRUCTURE
CNL1	YDR357C	NONE
CNM1	YBR063C	NONE
CNM67	YNL225C	STRUCTURE
CNN1	YFR046C	STRUCTURE
CNS1	YBR155W	STRUCTURE
COA1	YIL157C	NONE
COA2	YPL189C-A	NONE
COA3	YJL062W-A	NONE
COA4	YLR218C	NONE
COA6	YMR244C-A	NONE
COB		NONE
COF1	YLL050C	NONE
COG1	YGL223C	NONE
COG2	YGR120C	NONE
COG3	YER157W	NONE
COG4	YPR105C	NONE
COG5	YNL051W	NONE
COG6	YNL041C	NONE
COG7	YGL005C	NONE
COG8	YML071C	NONE
COI1	YDR381C-A	NONE
COM2	YER130C	NONE
COP1	YDL145C	NONE
COQ1	YBR003W	NONE
COQ10	YOL008W	NONE
COQ11	YLR290C	NONE
COQ2	YNR041C	NONE
COQ21	YBR230W-A	NONE
COQ3	YOL096C	NONE
COQ4	YDR204W	NONE
COQ5	YML110C	NONE
COQ6	YGR255C	NONE
COQ8	YGL119W	NONE
COQ9	YLR201C	NONE
COR1	YBL045C	NONE
COS1	YNL336W	NONE
COS10	YNR075W	NONE
COS111	YBR203W	INPUT
COS12	YGL263W	NONE
COS2	YBR302C	NONE
COS3	YML132W	NONE
COS4	YFL062W	NONE
COS5	YJR161C	NONE
COS6	YGR295C	NONE
COS7	YDL248W	NONE
COS8	YHL048W	NONE
COS9	YKL219W	NONE
COT1	YOR316C	INPUT
COX1		NONE
COX10	YPL172C	NONE
COX11	YPL132W	NONE
COX12	YLR038C	NONE
COX13	YGL191W	NONE
COX14	YML129C	NONE
COX15	YER141W	NONE
COX16	YJL003W	NONE
COX17	YLL009C	NONE
COX18	YGR062C	NONE
COX19	YLL018C-A	STRUCTURE
COX2		NONE
COX20	YDR231C	NONE
COX23	YHR116W	NONE
COX26	YDR119W-A	NONE
COX3		NONE
COX4	YGL187C	NONE
COX5A	YNL052W	NONE
COX5B	YIL111W	NONE
COX6	YHR051W	NONE
COX7	YMR256C	NONE
COX8	YLR395C	NONE
COX9	YDL067C	NONE
COY1	YKL179C	NONE
CPA1	YOR303W	NONE
CPA2	YJR109C	NONE
CPD1	YGR247W	NONE
CPP1	YBR016W	NONE
CPP2	YDR210W	NONE
CPP3	YDR034W-B	NONE
CPR1	YDR155C	STRUCTURE
CPR2	YHR057C	STRUCTURE
CPR3	YML078W	STRUCTURE
CPR4	YCR069W	STRUCTURE
CPR5	YDR304C	STRUCTURE
CPR6	YLR216C	STRUCTURE
CPR7	YJR032W	STRUCTURE
CPR8	YNR028W	STRUCTURE
CPS1	YJL172W	NONE
CPT1	YNL130C	NONE
CPX-1015		NONE
CPX-1016		NONE
CPX-1018		NONE
CPX-1021		NONE
CPX-1022		NONE
CPX-1026		NONE
CPX-1028		NONE
CPX-1036		NONE
CPX-1037		NONE
CPX-1038		NONE
CPX-1039		NONE
CPX-1040		NONE
CPX-1041		NONE
CPX-1042		NONE
CPX-1043		NONE
CPX-1044		NONE
CPX-1045		NONE
CPX-1047		NONE
CPX-1052		NONE
CPX-1053		NONE
CPX-1068		NONE
CPX-1071		NONE
CPX-1091		NONE
CPX-1101		NONE
CPX-1102		NONE
CPX-1103		NONE
CPX-112		NONE
CPX-1125		NONE
CPX-1140		NONE
CPX-1141		NONE
CPX-1142		NONE
CPX-1143		NONE
CPX-1149		NONE
CPX-1150		NONE
CPX-1151		NONE
CPX-1152		NONE
CPX-1153		NONE
CPX-1155		NONE
CPX-1156		NONE
CPX-1157		NONE
CPX-1162		NONE
CPX-1165		NONE
CPX-1166		NONE
CPX-1167		NONE
CPX-1178		NONE
CPX-1179		NONE
CPX-1185		NONE
CPX-1186		NONE
CPX-1187		NONE
CPX-1188		NONE
CPX-1189		NONE
CPX-1190		NONE
CPX-1191		NONE
CPX-1192		NONE
CPX-1193		NONE
CPX-1197		NONE
CPX-1198		NONE
CPX-1200		NONE
CPX-1229		NONE
CPX-1230		NONE
CPX-1231		NONE
CPX-124		NONE
CPX-1249		NONE
CPX-1260		NONE
CPX-1266		NONE
CPX-1267		NONE
CPX-1268		NONE
CPX-1269		NONE
CPX-1270		NONE
CPX-1274		NONE
CPX-1275		NONE
CPX-1276		NONE
CPX-1277		NONE
CPX-1278		NONE
CPX-1279		NONE
CPX-1280		NONE
CPX-1283		NONE
CPX-1287		NONE
CPX-1288		NONE
CPX-1292		NONE
CPX-1293		NONE
CPX-1294		NONE
CPX-1295		NONE
CPX-1302		NONE
CPX-1303		NONE
CPX-1304		NONE
CPX-1306		NONE
